"ID","State","Name","County","Lat","Lon","Combust","Fuel","FuelCat","Capacity","HeatInput","NetGen","NOX","SO2","CO2","CoalGen","OilGen","GasGen","NuclearGen","HydroGen","BiomassGen","WindGen","SolarGen","GeoGen","OtherFossilGen","OtherGen","NonRenewGen","RenewGen","CombGen","NonCombGen","CoalPortion","CapFac","SO2OutRate","CO2OutRate","NOXOutRate","NOXInRate","CO2InRate","SO2InRate"
66,"AK","NSB Wainwright Utility","North Slope",70.5986,-160.0614,1,"DFO","OIL",3,45058.5,5301,54.93,1.84,3686.3,0,5301,0,0,0,0,0,0,0,0,0,5301,0,5301,0,0,0.201712328767123,0.000347104319939634,0.695397094887757,0.0103621958121109,0.00121908186024834,0.0818114229279714,4.08358023458393e-05
67,"AK","Orca","Valdez-Cordova",60.555,-145.7531,1,"DFO","OIL",10.7,95989,8269,117.01,4.16,7853.1,0,8269,0,0,0,0,0,0,0,0,0,8269,0,8269,0,0,0.0882196048307942,0.000503083806989963,0.949703712661749,0.0141504414076672,0.00121899384304452,0.0818124993488837,4.33382991801144e-05
68,"AK","Pelican","Skagway-Hoonah-Angoon",57.9594,-136.2261,1,"DFO","OIL",2.9,9667,812,11.78,0.39,790.9,0,812,0,0,0,0,0,0,0,0,0,812,0,812,0,0,0.0319634703196347,0.000480295566502463,0.974014778325123,0.0145073891625616,0.00121857866970104,0.0818144201924072,4.03434364332264e-05
69,"AK","Petersburg","Wrangell-Petersburg",56.5583,-133.2544,0.5,"DFO","HYDRO",12.3,6588,11513.1,8.03,0.27,539,0,633.1,0,0,10880,0,0,0,0,0,0,633.1,10880,633.1,10880,0,0.106852099342911,2.34515464992053e-05,0.0468162354187838,0.000697466364402289,0.00121888281724347,0.0818154219793564,4.0983606557377e-05
70,"AK","Pillar Mountain Wind Project","Kodiak Island",57.7869,-152.4406,0,"WND","WIND",4.5,0,12606,0,0,0,0,0,0,0,0,0,12606,0,0,0,0,0,12606,0,12606,0,0.319786910197869,0,0,0,NA,NA,NA
71,"AK","Pilot Station","Wade Hampton",61.9381,-162.875,1,"JF","OIL",1.2,16948,1703,20.66,0,1354.4,0,1703,0,0,0,0,0,0,0,0,0,1703,0,1703,0,0,0.162005327245053,0,0.795302407516148,0.0121315325895479,0.00121902289355676,0.0799150342223271,0
72,"AK","Power Creek","Valdez-Cordova",60.59,-145.5956,0,"WAT","HYDRO",6,0,17599,0,0,0,0,0,0,0,17599,0,0,0,0,0,0,0,17599,0,17599,0,0.334836377473364,0,0,0,NA,NA,NA
73,"AK","Purple Lake","Ketchikan",55.1139,-131.5481,0,"WAT","HYDRO",3.9,0,16239,0,0,0,0,0,0,0,16239,0,0,0,0,0,0,0,16239,0,16239,0,0.475324903407095,0,0,0,NA,NA,NA
74,"AK","Quinhagak","Bethel",59.7539,-161.9008,1,"JF","OIL",1.1,17190,1631,20.95,0,1373.7,0,1631,0,0,0,0,0,0,0,0,0,1631,0,1631,0,0,0.169261104192611,0,0.842244022072348,0.012844880441447,0.00121873182082606,0.079912739965096,0
75,"AK","Salmon Creek 1","Juneau",58.3261,-134.4625,0,"WAT","HYDRO",8.5,0,24201,0,0,0,0,0,0,0,24201,0,0,0,0,0,0,0,24201,0,24201,0,0.325020145044319,0,0,0,NA,NA,NA
76,"AK","Savoonga","Nome",63.25,-169.5889,1,"JF","OIL",1.7,15053.5,1771,18.35,0,1203,0,1771,0,0,0,0,0,0,0,0,0,1771,0,1771,0,0,0.118922911630406,0,0.679277244494636,0.0103613777526821,0.0012189856179626,0.0799149699405454,0
77,"AK","Scammon Bay","Wade Hampton",61.79,-165.0689,1,"JF","OIL",1.3,14195,1670,17.3,0,1134.4,0,1670,0,0,0,0,0,0,0,0,0,1670,0,1670,0,0,0.146645591851071,0,0.679281437125749,0.0103592814371257,0.00121873899260303,0.0799154631912645,0
78,"AK","Selawik","Northwest Arctic",66.5569,-160.1431,1,"JF","OIL",1.6,25233,2714,30.76,0,2016.4,0,2714,0,0,0,0,0,0,0,0,0,2714,0,2714,0,0,0.193635844748858,0,0.742962417096537,0.0113338246131172,0.00121903856061507,0.0799112273609955,0
79,"AK","Seldovia","Kenai Peninsula",59.4373,-151.715,1,"DFO","OIL",2.4,1599,202,1.95,0.06,130.8,0,202,0,0,0,0,0,0,0,0,0,202,0,202,0,0,0.00960806697108067,0.000297029702970297,0.647524752475248,0.00965346534653465,0.00121951219512195,0.0818011257035647,3.75234521575985e-05
80,"AK","Seward","Kenai Peninsula",60.1083,-149.4417,1,"DFO","OIL",18.6,7286,678,8.88,0.31,596.1,0,678,0,0,0,0,0,0,0,0,0,678,0,678,0,0,0.0041611430254824,0.000457227138643068,0.879203539823009,0.0130973451327434,0.00121877573428493,0.0818144386494647,4.25473510842712e-05
81,"AK","Shishmaref","Nome",65.0853,-165.1108,1,"JF","OIL",1.4,21217,1603,25.86,0,1695.5,0,1603,0,0,0,0,0,0,0,0,0,1603,0,1603,0,0,0.130707762557078,0,1.0577043044292,0.0161322520274485,0.00121883395390489,0.0799123344487911,0
82,"AK","Shungnak","Northwest Arctic",66.71,-156.9889,1,"JF","OIL",1.2,12903,1518,15.73,0,1031.1,0,1518,0,0,0,0,0,0,0,0,0,1518,0,1518,0,0,0.144406392694064,0,0.679249011857707,0.0103623188405797,0.00121909633418585,0.0799116484538479,0
83,"AK","Silvis","Ketchikan",55.3633,-131.6778,0,"WAT","HYDRO",2.1,0,11368,0,0,0,0,0,0,0,11368,0,0,0,0,0,0,0,11368,0,11368,0,0.617960426179604,0,0,0,NA,NA,NA
84,"AK","Skagway","Skagway-Hoonah-Angoon",59.4583,-135.3139,0.5,"DFO","HYDRO",4.4,466,3518,0.57,0.02,38.1,0,-51,0,0,3569,0,0,0,0,0,0,-51,3569,-51,3569,0,0.0912723121627231,5.68504832291074e-06,0.010830017055145,0.000162023877202956,0.00122317596566524,0.0817596566523605,4.29184549356223e-05
85,"AK","Snake River","Nome",64.5033,-165.4357,1,"DFO","OIL",20.5,287266,33796,350.18,11.72,23501.8,0,33796,0,0,0,0,0,0,0,0,0,33796,0,33796,0,0,0.188194676467313,0.00034678660196473,0.695401822700911,0.0103615812522192,0.00121900955908461,0.0818119791412837,4.07984237605564e-05
86,"AK","Snettisham","Juneau",58.1389,-133.7264,0,"WAT","HYDRO",78.2,0,285665,0,0,0,0,0,0,0,285665,0,0,0,0,0,0,0,285665,0,285665,0,0.417009716334419,0,0,0,NA,NA,NA
87,"AK","Solomon Gulch","Valdez-Cordova",61.0811,-146.8572,0,"WAT","HYDRO",12,0,44758,0,0,0,0,0,0,0,44758,0,0,0,0,0,0,0,44758,0,44758,0,0.425780060882801,0,0,0,NA,NA,NA
88,"AK","South Fork","Prince of Wales",55.55,-132.9,0,"WAT","HYDRO",2,0,5757,0,0,0,0,0,0,0,5757,0,0,0,0,0,0,0,5757,0,5757,0,0.328595890410959,0,0,0,NA,NA,NA
